Date,signal,short_mav,long_mav,positions
2019-05-29,1.0,393.96849365234374,376.2000392913818,0.0
2019-05-30,1.0,395.4800201416016,377.2190254211426,0.0
2019-05-31,1.0,396.5600357055664,378.1665035247803,0.0
2019-06-03,1.0,397.62525634765626,378.86925277709963,0.0
2019-06-04,1.0,399.2329498291016,379.5430286407471,0.0
2019-06-06,1.0,400.6803665161133,380.24454460144045,0.0
2019-06-07,1.0,402.41628112792966,381.0095554351807,0.0
2019-06-10,1.0,403.94506683349607,381.79182586669924,0.0
2019-06-11,1.0,406.1667419433594,382.5568363189697,0.0
2019-06-12,1.0,408.021012878418,383.2885581970215,0.0
2019-06-13,1.0,410.11939544677733,384.0837738037109,0.0
2019-06-14,1.0,411.85777587890624,384.9184425354004,0.0
2019-06-17,1.0,413.0660125732422,385.78023567199705,0.0
